Old_LU_bin,New_LU_bin,Cell_Count
Crop/Grass/Shrub,Crop/Grass/Shrub,23.0
Crop/Grass/Shrub,Forest,2.0
Crop/Grass/Shrub,Urban,8.0
Crop/Grass/Shrub,Water/Wetland,2.0
Forest,Crop/Grass/Shrub,1.0
Forest,Forest,7.0
Forest,Urban,1.0
Forest,Water/Wetland,1.0
Water/Wetland,Forest,3.0
Water/Wetland,Urban,2.0
Water/Wetland,Water/Wetland,6.0
