Old_LU_bin,New_LU_bin,Cell_Count
Crop/Grass/Shrub,Crop/Grass/Shrub,41.0
Crop/Grass/Shrub,Urban,48.0
Forest,Crop/Grass/Shrub,1.0
Forest,Forest,10.0
Forest,Urban,3.0
Forest,Water/Wetland,1.0
Urban,Urban,64.0
Water/Wetland,Crop/Grass/Shrub,2.0
Water/Wetland,Forest,3.0
Water/Wetland,Urban,3.0
Water/Wetland,Water/Wetland,64.0
