Old_LU_bin,New_LU_bin,Cell_Count
Crop/Grass/Shrub,Crop/Grass/Shrub,12.0
Crop/Grass/Shrub,Forest,1.0
Crop/Grass/Shrub,Urban,3.0
Forest,Forest,1.0
Forest,Urban,2.0
Urban,Urban,1.0
