Old_LU_bin,New_LU_bin,Cell_Count
Crop/Grass/Shrub,Crop/Grass/Shrub,7.0
Crop/Grass/Shrub,Forest,1.0
Crop/Grass/Shrub,Urban,15.0
Forest,Forest,1.0
