Old_LU_bin,New_LU_bin,Cell_Count
Crop/Grass/Shrub,Crop/Grass/Shrub,4.0
Crop/Grass/Shrub,Forest,11.0
Crop/Grass/Shrub,Urban,5.0
Forest,Crop/Grass/Shrub,1.0
Forest,Forest,8.0
Forest,Urban,7.0
Urban,Forest,1.0
