Old_LU_bin,New_LU_bin,Cell_Count
Crop/Grass/Shrub,Crop/Grass/Shrub,51.0
Crop/Grass/Shrub,Forest,5.0
Crop/Grass/Shrub,Urban,42.0
Forest,Forest,23.0
Forest,Urban,4.0
Urban,Urban,82.0
Water/Wetland,Crop/Grass/Shrub,1.0
Water/Wetland,Forest,2.0
Water/Wetland,Urban,2.0
Water/Wetland,Water/Wetland,2.0
