Old_LU_bin,New_LU_bin,Cell_Count
Crop/Grass/Shrub,Crop/Grass/Shrub,107.0
Crop/Grass/Shrub,Forest,38.0
Crop/Grass/Shrub,Urban,73.0
Forest,Crop/Grass/Shrub,8.0
Forest,Forest,88.0
Forest,Urban,45.0
Urban,Forest,1.0
Urban,Urban,104.0
