Old_LU_bin,New_LU_bin,Cell_Count
Crop/Grass/Shrub,Crop/Grass/Shrub,506.0
Crop/Grass/Shrub,Forest,26.0
Crop/Grass/Shrub,Urban,1.0
Forest,Crop/Grass/Shrub,100.0
Forest,Forest,1335.0
Forest,Urban,19.0
Urban,Forest,2.0
Urban,Urban,78.0
Water/Wetland,Water/Wetland,141.0
