Old_LU_bin,New_LU_bin,Cell_Count
Crop/Grass/Shrub,Crop/Grass/Shrub,2959.0
Crop/Grass/Shrub,Forest,11.0
Crop/Grass/Shrub,Urban,12.0
Forest,Crop/Grass/Shrub,45.0
Forest,Forest,415.0
Forest,Urban,8.0
Urban,Crop/Grass/Shrub,2.0
Urban,Urban,93.0
Water/Wetland,Crop/Grass/Shrub,3.0
Water/Wetland,Water/Wetland,22.0
