Old_LU_bin,New_LU_bin,Cell_Count
Crop/Grass/Shrub,Crop/Grass/Shrub,1382.0
Crop/Grass/Shrub,Forest,26.0
Crop/Grass/Shrub,Urban,5.0
Forest,Crop/Grass/Shrub,145.0
Forest,Forest,2173.0
Forest,Urban,15.0
Forest,Water/Wetland,22.0
Urban,Forest,1.0
Urban,Urban,76.0
Water/Wetland,Crop/Grass/Shrub,20.0
Water/Wetland,Forest,22.0
Water/Wetland,Water/Wetland,1236.0
