Old_LU_bin,New_LU_bin,Cell_Count
Crop/Grass/Shrub,Crop/Grass/Shrub,3.0
Crop/Grass/Shrub,Forest,2.0
Crop/Grass/Shrub,Urban,3.0
Forest,Forest,36.0
Forest,Urban,10.0
Urban,Urban,11.0
