Old_LU_bin,New_LU_bin,Cell_Count
Crop/Grass/Shrub,Crop/Grass/Shrub,569.0
Crop/Grass/Shrub,Forest,41.0
Crop/Grass/Shrub,Urban,3.0
Crop/Grass/Shrub,Water/Wetland,1.0
Forest,Crop/Grass/Shrub,133.0
Forest,Forest,2104.0
Forest,Urban,61.0
Forest,Water/Wetland,1.0
Urban,Crop/Grass/Shrub,1.0
Urban,Forest,8.0
Urban,Urban,308.0
Water/Wetland,Crop/Grass/Shrub,1.0
Water/Wetland,Urban,1.0
Water/Wetland,Water/Wetland,176.0
