Old_LU_bin,New_LU_bin,Cell_Count
Crop/Grass/Shrub,Crop/Grass/Shrub,2.0
Crop/Grass/Shrub,Urban,1.0
Urban,Urban,5.0
Water/Wetland,Urban,3.0
