Old_LU_bin,New_LU_bin,Cell_Count
Crop/Grass/Shrub,Crop/Grass/Shrub,18.0
Crop/Grass/Shrub,Urban,43.0
Forest,Urban,4.0
Urban,Urban,4.0
Water/Wetland,Urban,3.0
Water/Wetland,Water/Wetland,2.0
