Old_LU_bin,New_LU_bin,Cell_Count
Crop/Grass/Shrub,Crop/Grass/Shrub,214.0
Crop/Grass/Shrub,Forest,12.0
Crop/Grass/Shrub,Urban,5.0
Forest,Crop/Grass/Shrub,23.0
Forest,Forest,1212.0
Forest,Urban,18.0
Urban,Forest,1.0
Urban,Urban,53.0
Water/Wetland,Water/Wetland,20.0
