Old_LU_bin,New_LU_bin,Cell_Count
Crop/Grass/Shrub,Crop/Grass/Shrub,1176.0
Crop/Grass/Shrub,Forest,3.0
Crop/Grass/Shrub,Urban,23.0
Crop/Grass/Shrub,Water/Wetland,4.0
Forest,Crop/Grass/Shrub,2.0
Forest,Forest,23.0
Forest,Urban,1.0
Forest,Water/Wetland,2.0
Urban,Crop/Grass/Shrub,1.0
Urban,Urban,187.0
Water/Wetland,Crop/Grass/Shrub,5.0
Water/Wetland,Urban,9.0
Water/Wetland,Water/Wetland,364.0
