Old_LU_bin,New_LU_bin,Cell_Count
Crop/Grass/Shrub,Crop/Grass/Shrub,1706.0
Crop/Grass/Shrub,Forest,66.0
Crop/Grass/Shrub,Urban,15.0
Forest,Crop/Grass/Shrub,227.0
Forest,Forest,3687.0
Forest,Urban,95.0
Forest,Water/Wetland,31.0
Urban,Crop/Grass/Shrub,2.0
Urban,Forest,1.0
Urban,Urban,414.0
Water/Wetland,Crop/Grass/Shrub,1.0
Water/Wetland,Forest,21.0
Water/Wetland,Urban,14.0
Water/Wetland,Water/Wetland,584.0
