Old_LU_bin,New_LU_bin,Cell_Count
Crop/Grass/Shrub,Crop/Grass/Shrub,2309.0
Crop/Grass/Shrub,Urban,26.0
Urban,Crop/Grass/Shrub,1.0
Urban,Urban,81.0
Water/Wetland,Water/Wetland,13.0
