Old_LU_bin,New_LU_bin,Cell_Count
Crop/Grass/Shrub,Crop/Grass/Shrub,33.0
Crop/Grass/Shrub,Forest,10.0
Forest,Crop/Grass/Shrub,21.0
Forest,Forest,765.0
Forest,Urban,23.0
Forest,Water/Wetland,13.0
Urban,Urban,140.0
Water/Wetland,Forest,5.0
Water/Wetland,Urban,5.0
Water/Wetland,Water/Wetland,85.0
