Old_LU_bin,New_LU_bin,Cell_Count
Forest,Forest,8.0
Forest,Urban,9.0
Forest,Water/Wetland,2.0
Water/Wetland,Urban,2.0
Water/Wetland,Water/Wetland,17.0
