Old_LU_bin,New_LU_bin,Cell_Count
Crop/Grass/Shrub,Crop/Grass/Shrub,1546.0
Crop/Grass/Shrub,Forest,35.0
Crop/Grass/Shrub,Urban,8.0
Forest,Crop/Grass/Shrub,122.0
Forest,Forest,9957.0
Forest,Urban,19.0
Urban,Crop/Grass/Shrub,1.0
Urban,Forest,2.0
Urban,Urban,323.0
Water/Wetland,Water/Wetland,19.0
